,location,total_sqft,bath,price,bhk
1455,Electronic City Phase II,1800.0,3.0,92.0,3
1456,Electronic City Phase II,1300.0,2.0,28.0,2
1457,Electronic City Phase II,1940.0,4.0,116.0,3
1458,Electronic City Phase II,1160.0,2.0,33.5,2
1459,Electronic City Phase II,1025.0,2.0,29.6,2
1460,Electronic City Phase II,2187.5,4.0,105.0,4
1461,Electronic City Phase II,1252.0,2.0,67.0,2
1462,Electronic City Phase II,1125.0,2.0,32.63,2
1463,Electronic City Phase II,1140.0,2.0,34.0,2
1464,Electronic City Phase II,1135.0,2.0,46.0,2
1465,Electronic City Phase II,1165.0,2.0,33.64,2
1466,Electronic City Phase II,575.0,1.0,16.75,1
1467,Electronic City Phase II,1065.0,2.0,30.76,2
1468,Electronic City Phase II,1065.0,2.0,30.75,2
1469,Electronic City Phase II,1140.0,2.0,33.06,2
1470,Electronic City Phase II,1200.0,2.0,34.65,2
1471,Electronic City Phase II,1031.0,2.0,54.48,2
1472,Electronic City Phase II,1651.0,3.0,49.53,3
1473,Electronics City Phase 1,1070.0,2.0,45.5,2
1474,Electronics City Phase 1,1113.27,2.0,53.0,2
1475,Electronics City Phase 1,1175.0,2.0,51.47,2
1476,Electronics City Phase 1,1160.0,2.0,52.0,2
1477,Electronics City Phase 1,1750.0,3.0,84.0,3
1478,Electronics City Phase 1,1015.0,2.0,56.0,2
1479,Electronics City Phase 1,1595.0,3.0,75.0,3
1480,Electronics City Phase 1,1515.0,2.0,80.91,3
1481,Electronics City Phase 1,1555.0,2.0,82.0,3
1482,Electronics City Phase 1,1340.0,2.0,75.0,2
1483,Electronics City Phase 1,1175.0,2.0,57.0,2
1484,Electronics City Phase 1,755.0,1.0,42.41,1
1485,Electronics City Phase 1,580.0,1.0,27.0,1
1486,Electronics City Phase 1,1335.0,2.0,67.0,2
1487,Electronics City Phase 1,1175.0,2.0,69.0,2
1488,Electronics City Phase 1,1113.12,2.0,55.0,2
1489,Electronics City Phase 1,635.0,1.0,26.0,1
1490,Electronics City Phase 1,1190.0,2.0,68.0,2
1491,Electronics City Phase 1,1085.0,2.0,46.0,2
1492,Electronics City Phase 1,638.0,1.0,32.0,1
1493,Electronics City Phase 1,1175.0,2.0,64.98,2
1494,Electronics City Phase 1,1200.0,2.0,59.76,2
1495,Electronics City Phase 1,1145.0,2.0,54.0,2
1496,Electronics City Phase 1,1125.0,2.0,65.0,2
1497,Electronics City Phase 1,1522.5,2.0,60.75,3
1498,Electronics City Phase 1,1550.0,2.0,82.0,3
1499,Electronics City Phase 1,1175.0,2.0,50.0,2
1500,Electronics City Phase 1,762.5,1.0,45.4,1
1501,Electronics City Phase 1,1245.0,2.0,75.0,2
1502,Electronics City Phase 1,1800.0,3.0,93.0,3
1503,Electronics City Phase 1,1314.0,2.0,60.0,2
1504,Electronics City Phase 1,1170.0,2.0,62.0,2
1505,Electronics City Phase 1,1300.0,2.0,67.0,2
1506,Electronics City Phase 1,1028.0,2.0,51.0,2
1507,Electronics City Phase 1,1080.0,2.0,46.0,2
1508,Electronics City Phase 1,1205.0,2.0,60.0,2
1509,Electronics City Phase 1,1900.0,3.0,85.0,3
1510,Electronics City Phase 1,1305.0,2.0,67.0,2
1511,Electronics City Phase 1,755.0,1.0,30.12,1
1512,Electronics City Phase 1,1175.0,2.0,60.0,2
1513,Frazer Town,1700.0,3.0,180.0,3
1514,Frazer Town,1870.0,3.0,185.0,3
1515,Frazer Town,1750.0,3.0,150.0,3
1516,Frazer Town,4850.0,6.0,385.0,4
1517,Frazer Town,2000.0,3.0,200.0,3
1518,Frazer Town,3500.0,4.0,330.0,3
1519,Frazer Town,2350.0,4.0,285.0,3
1520,Frazer Town,1550.0,2.0,140.0,2
1521,Frazer Town,1900.0,4.0,145.0,3
1522,Frazer Town,2560.0,3.0,265.0,3
1523,Frazer Town,2400.0,3.0,260.0,3
1524,Frazer Town,2560.0,3.0,288.0,3
1525,Frazer Town,3436.0,5.0,341.0,4
1526,Frazer Town,4856.0,5.0,410.0,4
1527,Frazer Town,1315.0,2.0,140.0,2
1528,Frazer Town,1706.0,3.0,154.0,3
1529,Frazer Town,2079.0,3.0,220.0,3
1530,Frazer Town,3435.0,2.0,341.0,4
1531,Frazer Town,3436.0,5.0,345.0,4
1532,Frazer Town,3100.0,3.0,400.0,3
1533,Frazer Town,5400.0,3.0,400.0,3
1534,Frazer Town,1180.0,2.0,105.0,2
1535,Frazer Town,2900.0,4.0,325.0,4
1536,Frazer Town,1870.0,3.0,180.0,3
1537,Frazer Town,896.0,1.0,100.0,1
1538,Frazer Town,1420.0,2.0,120.0,2
1539,GM Palaya,1820.0,2.0,86.0,3
1540,GM Palaya,1225.0,2.0,47.0,2
1541,GM Palaya,1140.0,2.0,48.95,2
1542,GM Palaya,1735.0,3.0,70.0,3
1543,GM Palaya,1643.0,2.0,70.0,3
1544,Garudachar Palya,1060.0,2.0,48.7,2
1545,Garudachar Palya,1150.0,2.0,52.75,2
1546,Garudachar Palya,1150.0,2.0,52.8,2
1547,Garudachar Palya,1150.0,2.0,52.8,2
1548,Garudachar Palya,1060.0,2.0,48.5,2
1549,Garudachar Palya,1150.0,2.0,52.5,2
1550,Garudachar Palya,1060.0,2.0,48.66,2
1551,Garudachar Palya,1150.0,2.0,52.0,2
1552,Garudachar Palya,1154.0,2.0,51.8,2
1553,Giri Nagar,2400.0,4.0,400.0,4
1554,Giri Nagar,1800.0,3.0,252.0,3
1555,Giri Nagar,2400.0,4.0,400.0,4
1556,Giri Nagar,3000.0,4.0,375.0,6
1557,Giri Nagar,4000.0,3.0,750.0,4
1558,Gollarapalya Hosahalli,1129.0,2.0,50.0,2
1559,Gottigere,1100.0,2.0,40.0,2
1560,Gottigere,1618.0,3.0,82.5,3
1561,Gottigere,1222.0,2.0,63.0,2
1562,Gottigere,1600.0,2.0,55.0,3
1563,Gottigere,1153.0,2.0,48.5,2
1564,Gottigere,812.0,1.0,26.0,1
1565,Gottigere,2000.0,4.0,82.0,4
1566,Gottigere,1500.0,3.0,70.0,3
1567,Gottigere,1621.0,3.0,72.0,3
1568,Gottigere,812.0,1.0,26.0,1
1569,Gottigere,1235.0,2.0,63.0,2
1570,Gottigere,1000.0,2.0,35.0,2
1571,Gottigere,1010.0,2.0,35.0,2
1572,Gottigere,1410.0,2.0,45.0,2
1573,Gottigere,2500.0,3.0,120.0,4
1574,Gottigere,1120.0,2.0,50.0,2
1575,Gottigere,1500.0,3.0,63.0,3
1576,Gottigere,1200.0,2.0,40.0,2
1577,Gottigere,1280.0,2.0,61.0,2
1578,Gottigere,1205.0,2.0,56.58,2
1579,Gottigere,1170.0,2.0,40.0,2
1580,Gottigere,3000.0,3.0,132.0,4
1581,Gottigere,1613.0,3.0,72.0,3
1582,Gottigere,1110.0,2.0,36.25,2
1583,Gottigere,1245.0,2.0,59.0,2
1584,Gottigere,1200.0,2.0,50.0,2
1585,Green Glen Layout,1670.0,3.0,120.0,3
1586,Green Glen Layout,3250.0,4.0,230.0,4
1587,Green Glen Layout,1776.42,3.0,105.0,3
1588,Green Glen Layout,3250.0,4.0,230.0,4
1589,Green Glen Layout,1075.0,2.0,60.0,2
1590,Green Glen Layout,1715.0,3.0,115.0,3
1591,Green Glen Layout,1751.0,2.0,115.0,3
1592,Green Glen Layout,1750.0,3.0,130.0,3
1593,Green Glen Layout,1530.0,3.0,105.0,3
1594,Green Glen Layout,1752.0,3.0,105.0,3
1595,Green Glen Layout,1680.0,4.0,95.0,3
1596,Green Glen Layout,1728.0,3.0,125.0,3
1597,Green Glen Layout,1645.0,3.0,110.0,3
1598,Green Glen Layout,1517.0,3.0,100.0,3
1599,Green Glen Layout,3150.0,4.0,218.0,4
1600,Green Glen Layout,3270.0,4.0,205.0,4
1601,Green Glen Layout,1750.0,3.0,120.0,3
1602,Green Glen Layout,1751.0,3.0,115.0,3
1603,Green Glen Layout,1750.0,3.0,105.0,3
1604,Green Glen Layout,1885.0,3.0,135.0,3
1605,Green Glen Layout,1715.0,3.0,120.0,3
1606,Green Glen Layout,1623.29,2.0,105.0,3
1607,Green Glen Layout,1715.0,3.0,115.0,3
1608,Green Glen Layout,1715.0,3.0,105.0,3
1609,Green Glen Layout,1600.0,3.0,105.0,3
1610,Green Glen Layout,1717.0,3.0,125.0,3
1611,Green Glen Layout,1250.0,2.0,75.0,2
1612,Green Glen Layout,1715.0,3.0,112.0,3
1613,Gubbalala,1745.0,3.0,104.0,3
1614,Gubbalala,1745.0,3.0,115.0,3
1615,Gubbalala,1745.0,3.0,110.0,3
1616,Gubbalala,1650.0,3.0,71.0,3
1617,Gubbalala,2570.0,4.0,141.0,5
1618,Gubbalala,1205.0,2.0,70.0,2
1619,Gubbalala,1475.0,2.0,80.0,2
1620,Gubbalala,2000.0,4.0,85.0,4
1621,Gubbalala,1100.0,2.0,49.5,2
1622,Gubbalala,1060.0,2.0,46.0,2
1623,Gubbalala,2000.0,3.0,125.0,3
1624,Gubbalala,4000.0,5.0,195.0,4
1625,Gubbalala,1285.0,2.0,90.0,2
1626,Gunjur,1140.0,2.0,43.0,2
1627,Gunjur,1600.0,3.0,75.0,3
1628,Gunjur,2000.0,3.0,95.0,4
1629,Gunjur,1140.0,2.0,49.11,2
1630,Gunjur,1195.0,2.0,44.0,2
1631,Gunjur,1190.0,2.0,40.0,2
1632,Gunjur,1457.0,2.0,60.0,2
1633,Gunjur,1080.0,2.0,41.0,2
1634,Gunjur,2132.0,3.0,80.0,3
1635,Gunjur,1800.0,3.0,70.0,3
1636,Gunjur,1175.0,2.0,43.48,2
1637,Gunjur,1071.0,2.0,51.0,2
1638,Gunjur,1063.0,2.0,40.0,2
1639,Gunjur,1235.0,2.0,52.76,2
1640,Gunjur,1588.0,2.0,90.0,3
1641,Gunjur,1235.0,2.0,44.5,2
1642,Gunjur,1457.0,2.0,60.0,2
1643,HAL 2nd Stage,1226.0,3.0,135.0,2
1644,HAL 2nd Stage,2100.0,3.0,252.0,3
1645,HAL 2nd Stage,2700.0,3.0,500.0,3
1646,HBR Layout,2800.0,2.0,200.0,3
1647,HBR Layout,1722.0,3.0,95.0,3
1648,HBR Layout,1200.0,2.0,60.0,2
1649,HBR Layout,1004.0,2.0,49.0,2
1650,HBR Layout,1783.0,3.0,125.0,3
1651,HBR Layout,1656.0,3.0,90.0,3
1652,HBR Layout,1089.0,2.0,60.0,2
1653,HBR Layout,1700.0,3.0,110.0,3
1654,HBR Layout,1198.0,2.0,65.0,2
1655,HBR Layout,1200.0,2.0,120.0,2
1656,HBR Layout,1832.0,3.0,160.0,3
1657,HRBR Layout,1374.0,2.0,95.0,2
1658,HRBR Layout,1440.0,2.0,98.0,2
1659,HRBR Layout,1567.0,3.0,90.0,3
1660,HRBR Layout,2800.0,3.0,250.0,3
1661,HRBR Layout,1210.0,2.0,75.0,2
1662,HRBR Layout,1265.0,2.0,78.0,2
1663,HRBR Layout,1170.0,2.0,75.0,2
1664,HRBR Layout,1625.0,3.0,120.0,3
1665,HRBR Layout,1301.0,2.0,120.0,2
1666,HRBR Layout,1145.0,2.0,68.5,2
1667,HRBR Layout,1300.0,2.0,90.0,2
1668,HSR Layout,1372.0,2.0,68.0,2
1669,HSR Layout,1467.0,2.0,55.0,2
1670,HSR Layout,1140.0,2.0,46.0,2
1671,HSR Layout,1372.0,2.0,61.0,2
1672,HSR Layout,1750.0,3.0,95.0,3
1673,HSR Layout,2424.0,3.0,90.0,3
1674,HSR Layout,1027.0,2.0,44.0,2
1675,HSR Layout,1650.0,3.0,110.0,3
1676,HSR Layout,1140.0,2.0,46.0,2
1677,HSR Layout,1372.0,2.0,61.0,2
1678,HSR Layout,1140.0,2.0,46.0,2
1679,HSR Layout,1185.0,2.0,60.0,2
1680,HSR Layout,1127.0,2.0,68.0,2
1681,HSR Layout,1600.0,2.0,115.0,3
1682,HSR Layout,1145.0,2.0,48.0,2
1683,HSR Layout,1009.0,2.0,56.0,2
1684,HSR Layout,1300.0,2.0,98.0,2
1685,HSR Layout,2400.0,3.0,88.0,3
1686,HSR Layout,1140.0,2.0,46.0,2
1687,HSR Layout,1126.0,2.0,69.0,2
1688,HSR Layout,1140.0,2.0,46.0,2
1689,HSR Layout,1145.0,2.0,46.0,2
1690,HSR Layout,1142.0,2.0,65.0,2
1691,HSR Layout,1145.0,2.0,46.0,2
1692,HSR Layout,1844.0,3.0,95.0,3
1693,HSR Layout,1203.0,2.0,72.0,2
1694,HSR Layout,1140.0,2.0,46.0,2
1695,HSR Layout,4200.0,5.0,245.0,5
1696,HSR Layout,1140.0,2.0,46.0,2
1697,HSR Layout,1145.0,2.0,46.0,2
1698,HSR Layout,1009.0,2.0,56.0,2
1699,HSR Layout,1145.0,2.0,46.0,2
1700,HSR Layout,1100.0,2.0,44.0,2
1701,HSR Layout,1203.0,2.0,60.0,2
1702,HSR Layout,1120.0,2.0,70.0,2
1703,HSR Layout,1140.0,2.0,46.0,2
1704,HSR Layout,1289.0,2.0,70.0,2
1705,HSR Layout,1844.0,3.0,89.0,3
1706,HSR Layout,1203.0,2.0,60.0,2
1707,HSR Layout,1140.0,2.0,46.0,2
1708,Haralur Road,1240.0,2.0,70.0,2
1709,Haralur Road,1027.0,2.0,44.0,2
1710,Haralur Road,2805.0,5.0,154.0,4
1711,Haralur Road,1194.0,2.0,47.0,2
1712,Haralur Road,1202.0,2.0,53.0,2
1713,Haralur Road,1056.0,2.0,61.0,2
1714,Haralur Road,1810.0,3.0,100.0,3
1715,Haralur Road,1194.0,2.0,46.0,2
1716,Haralur Road,2805.0,4.0,154.0,4
1717,Haralur Road,1225.0,2.0,67.38,2
1718,Haralur Road,1243.0,2.0,46.0,2
1719,Haralur Road,1027.0,2.0,44.0,2
1720,Haralur Road,1920.0,3.0,115.0,3
1721,Haralur Road,1875.0,3.0,110.0,3
1722,Haralur Road,1194.0,2.0,47.0,2
1723,Haralur Road,1140.0,2.0,43.0,2
1724,Haralur Road,1027.0,2.0,44.0,2
1725,Haralur Road,1194.0,2.0,46.0,2
1726,Haralur Road,2017.0,3.0,125.0,3
1727,Haralur Road,1140.0,2.0,43.0,2
1728,Haralur Road,1875.0,3.0,110.0,3
1729,Haralur Road,1092.0,2.0,44.0,2
1730,Haralur Road,2475.0,4.0,130.0,3
1731,Haralur Road,1300.0,2.0,73.0,2
1732,Haralur Road,1194.0,2.0,47.0,2
1733,Haralur Road,1243.0,2.0,46.0,2
1734,Haralur Road,1850.0,3.0,110.0,3
1735,Haralur Road,1225.0,2.0,67.38,2
1736,Haralur Road,1243.0,2.0,46.0,2
1737,Haralur Road,1464.0,2.0,56.0,2
1738,Haralur Road,1230.0,2.0,78.0,2
1739,Haralur Road,1000.0,2.0,44.0,2
1740,Haralur Road,3185.0,2.0,175.0,4
1741,Haralur Road,1300.0,2.0,79.0,2
1742,Haralur Road,1088.0,2.0,68.0,2
1743,Haralur Road,1027.0,2.0,44.0,2
1744,Haralur Road,1225.0,2.0,70.0,2
1745,Haralur Road,1194.0,2.0,46.0,2
1746,Haralur Road,1830.0,3.0,101.0,3
1747,Haralur Road,1464.0,2.0,56.0,2
1748,Haralur Road,1520.0,2.0,96.0,3
1749,Haralur Road,1300.0,2.0,75.0,2
1750,Haralur Road,2017.0,2.0,125.0,3
1751,Haralur Road,1243.0,2.0,46.0,2
1752,Haralur Road,1027.0,2.0,44.0,2
1753,Haralur Road,2805.0,5.0,160.0,4
1754,Haralur Road,1243.0,2.0,46.0,2
1755,Haralur Road,1027.0,2.0,44.0,2
1756,Haralur Road,2017.0,3.0,105.0,3
1757,Haralur Road,1243.0,2.0,46.0,2
1758,Haralur Road,1243.0,2.0,46.0,2
1759,Haralur Road,1520.0,2.0,90.0,3
1760,Haralur Road,1300.0,2.0,60.0,2
1761,Haralur Road,1985.0,3.0,130.0,3
1762,Haralur Road,1056.0,2.0,60.0,2
1763,Haralur Road,1140.0,2.0,42.0,2
1764,Haralur Road,1245.0,2.0,62.0,2
1765,Haralur Road,1140.0,2.0,58.0,2
1766,Haralur Road,1140.0,2.0,42.0,2
1767,Haralur Road,1027.0,2.0,43.0,2
1768,Haralur Road,1194.0,2.0,47.0,2
1769,Haralur Road,1194.0,2.0,47.0,2
1770,Haralur Road,1560.0,3.0,90.0,3
1771,Haralur Road,1520.0,2.0,85.0,3
1772,Haralur Road,1243.0,2.0,45.0,2
1773,Haralur Road,1027.0,2.0,44.0,2
1774,Haralur Road,1194.0,2.0,46.0,2
1775,Haralur Road,1650.0,3.0,100.0,3
1776,Haralur Road,1580.0,3.0,73.0,3
1777,Haralur Road,1243.0,2.0,46.0,2
1778,Haralur Road,1194.0,2.0,47.0,2
1779,Haralur Road,2805.0,4.0,154.0,4
1780,Haralur Road,1520.0,2.0,96.0,3
1781,Haralur Road,1510.0,3.0,83.05,3
1782,Haralur Road,1056.0,2.0,65.0,2
1783,Haralur Road,1810.0,3.0,100.0,3
1784,Haralur Road,1243.0,2.0,46.0,2
1785,Haralur Road,575.0,1.0,38.0,1
1786,Haralur Road,1194.0,2.0,46.0,2
1787,Haralur Road,1243.0,2.0,46.0,2
1788,Haralur Road,1194.0,2.0,46.0,2
1789,Haralur Road,1140.0,2.0,43.0,2
1790,Haralur Road,1850.0,3.0,120.0,3
1791,Haralur Road,1194.0,2.0,47.0,2
1792,Haralur Road,1194.0,2.0,47.0,2
1793,Haralur Road,1243.0,2.0,46.0,2
1794,Haralur Road,1710.0,3.0,85.0,3
1795,Haralur Road,1730.0,3.0,95.0,3
1796,Haralur Road,1243.0,2.0,46.0,2
1797,Haralur Road,1243.0,2.0,46.0,2
1798,Haralur Road,1243.0,2.0,46.0,2
1799,Haralur Road,1817.0,3.0,110.0,3
1800,Haralur Road,1225.0,2.0,77.0,2
1801,Haralur Road,1285.0,2.0,78.0,2
1802,Haralur Road,1225.0,2.0,67.48,2
1803,Haralur Road,1225.0,2.0,69.84,2
1804,Haralur Road,1200.0,2.0,46.0,2
1805,Haralur Road,1315.0,2.0,85.0,2
1806,Haralur Road,1976.0,3.0,92.0,3
1807,Haralur Road,1300.0,2.0,75.0,2
1808,Haralur Road,1309.0,2.0,82.0,2
1809,Haralur Road,1027.0,1.0,44.0,2
1810,Haralur Road,1243.0,2.0,46.0,2
1811,Haralur Road,1243.0,2.0,46.0,2
1812,Haralur Road,1140.0,2.0,43.0,2
1813,Haralur Road,1300.0,2.0,75.0,2
1814,Haralur Road,1243.0,2.0,46.0,2
1815,Haralur Road,1890.0,3.0,84.0,3
1816,Haralur Road,1230.0,2.0,67.65,2
1817,Haralur Road,1194.0,2.0,46.0,2
1818,Haralur Road,1092.0,2.0,44.0,2
1819,Haralur Road,1735.0,3.0,97.0,3
1820,Haralur Road,1810.0,3.0,97.83,3
1821,Haralur Road,1200.0,2.0,46.0,2
1822,Haralur Road,1243.0,2.0,46.0,2
1823,Haralur Road,1810.0,3.0,112.0,3
1824,Harlur,1174.0,2.0,69.0,2
1825,Harlur,1197.0,2.0,84.0,2
1826,Harlur,1757.0,3.0,132.0,3
1827,Harlur,1174.0,2.0,76.0,2
1828,Harlur,1754.0,3.0,125.0,3
1829,Harlur,1290.0,2.0,85.0,2
1830,Harlur,1752.12,3.0,116.0,3
1831,Harlur,1754.0,3.0,124.0,3
1832,Harlur,1152.0,2.0,69.0,2
1833,Harlur,1290.0,2.0,87.0,2
1834,Harlur,1749.0,3.0,115.0,3
1835,Harlur,2240.0,5.0,155.0,3
1836,Harlur,1197.0,2.0,79.0,2
1837,Harlur,1174.0,2.0,78.0,2
1838,Harlur,1730.0,3.0,100.0,3
1839,Harlur,1197.0,2.0,79.0,2
1840,Harlur,1749.0,3.0,112.0,3
1841,Harlur,1174.0,2.0,75.0,2
1842,Harlur,1620.0,3.0,110.0,3
1843,Harlur,1630.0,3.0,95.1,3
1844,Harlur,1756.0,3.0,131.0,3
1845,Harlur,1755.0,3.0,130.0,3
1846,Harlur,1864.0,3.0,140.0,3
1847,Harlur,1331.0,2.0,88.0,2
1848,Harlur,1756.0,3.0,128.0,3
1849,Harlur,1749.0,3.0,120.0,3
1850,Harlur,1197.0,2.0,82.0,2
1851,Harlur,1303.0,2.0,90.0,2
1852,Harlur,1754.0,3.0,132.0,3
1853,Harlur,1174.0,2.0,75.0,2
1854,Harlur,1197.0,2.0,78.0,2
1855,Harlur,1290.0,2.0,89.9,2
1856,Harlur,1386.0,2.0,85.0,2
1857,Harlur,1174.0,2.0,74.0,2
1858,Harlur,1174.0,2.0,78.0,2
1859,Harlur,1755.0,3.0,115.0,3
1860,Harlur,2820.0,4.0,153.5,4
1861,Harlur,2569.0,4.0,175.0,4
1862,Harlur,1197.0,2.0,77.0,2
1863,Harlur,1752.12,3.0,125.0,3
1864,Harlur,2569.0,5.0,180.0,4
1865,Harlur,1197.0,2.0,76.0,2
1866,Harlur,1197.0,2.0,75.0,2
1867,Harlur,1755.0,3.0,117.0,3
1868,Harlur,1197.0,2.0,79.9,2
1869,Harlur,2990.0,4.0,225.0,4
1870,Harlur,1370.0,2.0,88.0,2
1871,Harlur,1335.0,2.0,72.76,2
1872,Hebbal,1760.0,2.0,123.0,3
1873,Hebbal,5611.5,4.0,477.0,4
1874,Hebbal,1900.0,3.0,119.0,3
1875,Hebbal,1349.0,2.0,98.2,2
1876,Hebbal,2483.0,5.0,212.0,4
1877,Hebbal,1760.0,2.0,130.0,3
1878,Hebbal,3450.0,5.0,260.0,3
1879,Hebbal,1920.0,3.0,134.0,3
1880,Hebbal,1337.0,2.0,82.0,2
1881,Hebbal,1349.0,2.0,98.0,2
1882,Hebbal,1790.0,3.0,127.0,3
1883,Hebbal,2790.0,5.0,198.0,4
1884,Hebbal,2483.0,5.0,215.0,4
1885,Hebbal,2790.0,4.0,198.0,4
1886,Hebbal,3067.0,4.0,230.0,4
1887,Hebbal,3067.0,4.0,230.0,4
1888,Hebbal,1420.0,2.0,123.0,2
1889,Hebbal,1420.0,2.0,99.39,2
1890,Hebbal,4235.0,4.0,365.0,4
1891,Hebbal,1700.0,3.0,124.0,3
1892,Hebbal,1420.0,2.0,99.39,2
1893,Hebbal,1440.0,2.0,115.0,2
1894,Hebbal,2400.0,4.0,180.0,3
1895,Hebbal,1420.0,2.0,107.0,2
1896,Hebbal,1320.0,2.0,92.0,2
1897,Hebbal,1645.0,3.0,135.0,3
1898,Hebbal,2080.0,3.0,175.0,3
1899,Hebbal,2483.0,5.0,230.0,4
1900,Hebbal,2600.0,3.0,195.0,3
1901,Hebbal,1645.0,3.0,117.0,3
1902,Hebbal,1251.0,2.0,88.73,2
1903,Hebbal,1645.0,3.0,121.0,3
1904,Hebbal,1760.0,3.0,123.0,3
1905,Hebbal,2790.0,4.0,198.0,4
1906,Hebbal,1645.0,3.0,120.0,3
1907,Hebbal,1645.0,3.0,117.0,3
1908,Hebbal,1586.0,3.0,90.0,3
1909,Hebbal,1636.0,3.0,119.0,3
1910,Hebbal,2661.0,2.0,226.5,3
1911,Hebbal,2790.0,4.0,198.0,4
1912,Hebbal,1088.0,2.0,61.45,2
1913,Hebbal,1349.0,2.0,97.8,2
1914,Hebbal,1344.0,2.0,108.0,2
1915,Hebbal,2790.0,5.0,204.0,4
1916,Hebbal,1088.0,2.0,62.0,2
1917,Hebbal,1987.0,4.0,165.0,3
1918,Hebbal,2790.0,5.0,198.0,4
1919,Hebbal,1299.0,2.0,100.0,2
1920,Hebbal,1645.0,3.0,117.0,3
1921,Hebbal,1390.0,2.0,95.0,2
1922,Hebbal,1333.0,2.0,100.0,2
1923,Hebbal,2650.0,4.0,199.0,3
1924,Hebbal,1800.0,3.0,140.0,3
1925,Hebbal,2470.0,4.0,203.0,4
1926,Hebbal,1333.0,2.0,104.0,2
1927,Hebbal,1645.0,3.0,117.0,3
1928,Hebbal,2600.0,3.0,199.0,3
1929,Hebbal,1345.0,2.0,97.0,2
1930,Hebbal,1320.0,2.0,91.0,2
1931,Hebbal,2388.0,3.0,195.0,3
1932,Hebbal,1040.0,2.0,55.0,2
1933,Hebbal,2600.0,3.0,195.0,3
1934,Hebbal,2630.0,5.0,188.0,4
1935,Hebbal,2790.0,5.0,198.0,4
1936,Hebbal,1645.0,3.0,113.0,3
1937,Hebbal,1420.0,2.0,99.39,2
1938,Hebbal,1590.0,3.0,96.0,3
1939,Hebbal,3520.0,5.0,320.0,3
1940,Hebbal,1162.0,2.0,69.0,2
1941,Hebbal,1100.0,2.0,60.0,2
1942,Hebbal,4235.0,5.0,364.0,4
1943,Hebbal,1299.0,2.0,97.0,2
1944,Hebbal,2470.0,5.0,192.0,4
1945,Hebbal,1645.0,3.0,117.0,3
1946,Hebbal,1920.0,3.0,134.0,3
1947,Hebbal,3520.0,5.0,240.0,3
1948,Hebbal,1920.0,3.0,150.0,3
1949,Hebbal,2375.0,4.0,189.0,4
1950,Hebbal,1420.0,2.0,99.26,2
1951,Hebbal,1252.0,2.0,92.0,2
1952,Hebbal,2790.0,4.0,198.0,4
1953,Hebbal,1294.0,2.0,115.0,2
1954,Hebbal,4225.0,6.0,359.0,4
1955,Hebbal,1740.0,2.0,137.0,3
1956,Hebbal,1662.0,3.0,155.0,3
1957,Hebbal,1349.0,2.0,98.0,2
1958,Hebbal,4000.0,6.0,370.0,4
1959,Hebbal,1349.0,2.0,96.8,2
1960,Hebbal Kempapura,1700.0,3.0,155.0,3
1961,Hebbal Kempapura,1800.0,3.0,175.0,3
1962,Hebbal Kempapura,2900.0,4.0,300.0,3
1963,Hebbal Kempapura,3522.0,3.0,380.0,3
1964,Hebbal Kempapura,1200.0,2.0,125.0,2
1965,Hebbal Kempapura,2900.0,4.0,240.0,3
1966,Hebbal Kempapura,3900.0,5.0,360.0,4
1967,Hebbal Kempapura,1300.0,2.0,102.0,2
1968,Hebbal Kempapura,3900.0,5.0,310.0,4
1969,Hebbal Kempapura,1725.0,2.0,165.0,3
1970,Hebbal Kempapura,3408.0,3.0,260.0,3
1971,Hebbal Kempapura,1485.0,3.0,132.0,2
1972,Hebbal Kempapura,1400.0,2.0,108.0,2
1973,Hebbal Kempapura,1800.0,3.0,150.0,3
1974,Hebbal Kempapura,2800.0,5.0,220.0,5
1975,Hebbal Kempapura,1785.0,3.0,165.0,3
1976,Hebbal Kempapura,3729.0,4.0,384.0,4
1977,Hebbal Kempapura,1600.0,3.0,170.0,3
1978,Hebbal Kempapura,1730.0,3.0,175.0,3
1979,Hebbal Kempapura,2485.0,4.0,198.0,4
1980,Hegde Nagar,1569.0,3.0,101.0,3
1981,Hegde Nagar,3000.0,7.0,210.0,6
1982,Hegde Nagar,2026.0,3.0,132.0,3
1983,Hegde Nagar,1801.0,3.0,115.0,3
1984,Hegde Nagar,1050.0,1.0,56.0,2
1985,Hegde Nagar,1341.0,2.0,97.0,2
1986,Hegde Nagar,2112.95,4.0,145.0,3
1987,Hegde Nagar,1703.0,3.0,113.0,3
1988,Hegde Nagar,1570.0,3.0,105.0,3
1989,Hegde Nagar,1801.0,3.0,140.0,3
1990,Hegde Nagar,1584.01,3.0,103.0,3
1991,Hegde Nagar,1965.0,4.0,125.0,3
1992,Hegde Nagar,1200.0,2.0,75.0,2
1993,Hegde Nagar,1847.0,3.0,135.0,3
1994,Hegde Nagar,1965.0,4.0,132.0,3
1995,Hegde Nagar,1703.0,3.0,125.0,3
1996,Hegde Nagar,1847.0,3.0,125.0,3
1997,Hegde Nagar,2144.6,4.0,145.0,3
1998,Hegde Nagar,1718.0,3.0,119.0,3
1999,Hegde Nagar,1847.0,3.0,123.0,3
2000,Hegde Nagar,1340.0,2.0,72.0,2
2001,Hegde Nagar,2087.01,3.0,115.0,3
2002,Hegde Nagar,1703.0,3.0,130.0,3
2003,Hegde Nagar,2087.01,4.0,135.0,3
2004,Hegde Nagar,1718.0,3.0,130.0,3
